promotion_id,student_id,from_rank,to_rank,promotion_date,examining_instructor,certificate_number,discipline
PROMO-00233,CR-00004,2-dan kendo,3-dan kendo,2020-12-21,Tom Iverson,CERT-CR-00233,kendo
PROMO-00234,CR-00008,6-kyu judo,5-kyu judo,2025-12-20,Raj Patel,CERT-CR-00234,judo
PROMO-00235,CR-00033,4-kyu kendo,3-kyu kendo,2023-06-23,Aaron Delgado,CERT-CR-00235,kendo
PROMO-00236,CR-00028,1-dan kendo,2-dan kendo,2019-09-08,Tom Iverson,CERT-CR-00236,kendo
PROMO-00237,CR-00043,1-kyu kendo,1-dan kendo,2024-03-17,Tom Iverson,CERT-CR-00237,kendo
PROMO-00238,CR-00034,2-dan kendo,3-dan kendo,2023-03-13,Tom Iverson,CERT-CR-00238,kendo
PROMO-00239,CR-00041,6-kyu kendo,5-kyu kendo,2022-09-09,Aaron Delgado,CERT-CR-00239,kendo
PROMO-00240,CR-00051,5-kyu kendo,4-kyu kendo,2019-09-08,Raj Patel,CERT-CR-00240,kendo
PROMO-00241,CR-00048,6-kyu kendo,5-kyu kendo,2025-09-05,Aaron Delgado,CERT-CR-00241,kendo
PROMO-00242,CR-00035,2-dan kendo,3-dan kendo,2021-06-27,Raj Patel,CERT-CR-00242,kendo
PROMO-00243,CR-00031,4-kyu kendo,3-kyu kendo,2024-06-26,Tom Iverson,CERT-CR-00243,kendo
PROMO-00244,CR-00046,2-kyu kendo,1-kyu kendo,2025-12-02,Tom Iverson,CERT-CR-00244,kendo
PROMO-00245,CR-00003,1-kyu kendo,1-dan kendo,2025-06-02,Aaron Delgado,CERT-CR-00245,kendo
PROMO-00246,CR-00033,6-kyu kendo,5-kyu kendo,2022-12-09,Raj Patel,CERT-CR-00246,kendo
PROMO-00247,CR-00013,6-kyu judo,5-kyu judo,2021-09-28,Raj Patel,CERT-CR-00247,judo
PROMO-00248,CR-00022,1-kyu judo,1-dan judo,2021-03-26,Aaron Delgado,CERT-CR-00248,judo
PROMO-00249,CR-00057,1-kyu kendo,1-dan kendo,2022-12-13,Tom Iverson,CERT-CR-00249,kendo
PROMO-00250,CR-00032,3-dan kendo,4-dan kendo,2024-12-12,Aaron Delgado,CERT-CR-00250,kendo
PROMO-00251,CR-00052,1-dan kendo,2-dan kendo,2019-12-03,Raj Patel,CERT-CR-00251,kendo
PROMO-00252,CR-00053,5-kyu kendo,4-kyu kendo,2020-09-11,Tom Iverson,CERT-CR-00252,kendo
PROMO-00253,CR-00021,2-dan kendo,3-dan kendo,2024-09-10,Raj Patel,CERT-CR-00253,kendo
PROMO-00254,CR-00046,2-dan kendo,3-dan kendo,2022-06-23,Aaron Delgado,CERT-CR-00254,kendo
PROMO-00255,CR-00029,1-dan kendo,2-dan kendo,2019-09-20,Aaron Delgado,CERT-CR-00255,kendo
PROMO-00256,CR-00041,1-dan kendo,2-dan kendo,2025-03-03,Aaron Delgado,CERT-CR-00256,kendo
PROMO-00257,CR-00033,4-kyu kendo,3-kyu kendo,2025-06-01,Raj Patel,CERT-CR-00257,kendo
PROMO-00258,CR-00044,4-kyu kendo,3-kyu kendo,2025-12-02,Tom Iverson,CERT-CR-00258,kendo
PROMO-00259,CR-00016,1-dan kendo,2-dan kendo,2025-09-12,Raj Patel,CERT-CR-00259,kendo
PROMO-00260,CR-00003,2-dan kendo,3-dan kendo,2023-06-22,Aaron Delgado,CERT-CR-00260,kendo
PROMO-00261,CR-00024,4-kyu kendo,3-kyu kendo,2022-03-19,Raj Patel,CERT-CR-00261,kendo
PROMO-00262,CR-00024,2-kyu kendo,1-kyu kendo,2022-09-21,Tom Iverson,CERT-CR-00262,kendo
PROMO-00263,CR-00008,1-dan judo,2-dan judo,2019-06-16,Raj Patel,CERT-CR-00263,judo
PROMO-00264,CR-00008,2-dan judo,3-dan judo,2021-09-23,Tom Iverson,CERT-CR-00264,judo
PROMO-00265,CR-00040,5-kyu kendo,4-kyu kendo,2021-12-07,Tom Iverson,CERT-CR-00265,kendo
PROMO-00266,CR-00055,2-dan kendo,3-dan kendo,2019-12-06,Tom Iverson,CERT-CR-00266,kendo
PROMO-00267,CR-00052,1-kyu kendo,1-dan kendo,2024-09-22,Raj Patel,CERT-CR-00267,kendo
PROMO-00268,CR-00005,4-kyu kendo,3-kyu kendo,2023-09-10,Raj Patel,CERT-CR-00268,kendo
PROMO-00269,CR-00046,1-kyu kendo,1-dan kendo,2024-06-26,Raj Patel,CERT-CR-00269,kendo
PROMO-00270,CR-00015,4-kyu kendo,3-kyu kendo,2019-06-26,Tom Iverson,CERT-CR-00270,kendo
PROMO-00271,CR-00051,3-dan kendo,4-dan kendo,2022-03-12,Raj Patel,CERT-CR-00271,kendo
PROMO-00272,CR-00024,5-kyu kendo,4-kyu kendo,2022-06-20,Tom Iverson,CERT-CR-00272,kendo
PROMO-00273,CR-00020,1-dan kendo,2-dan kendo,2022-12-17,Aaron Delgado,CERT-CR-00273,kendo
PROMO-00274,CR-00053,1-kyu kendo,1-dan kendo,2023-03-05,Raj Patel,CERT-CR-00274,kendo
PROMO-00275,CR-00005,3-dan kendo,4-dan kendo,2022-12-22,Aaron Delgado,CERT-CR-00275,kendo
PROMO-00276,CR-00009,4-kyu kendo,3-kyu kendo,2025-06-25,Aaron Delgado,CERT-CR-00276,kendo
PROMO-00277,CR-00033,5-kyu kendo,4-kyu kendo,2025-03-27,Raj Patel,CERT-CR-00277,kendo
PROMO-00278,CR-00010,1-kyu judo,1-dan judo,2021-06-06,Raj Patel,CERT-CR-00278,judo
PROMO-00279,CR-00015,5-kyu kendo,4-kyu kendo,2021-09-28,Aaron Delgado,CERT-CR-00279,kendo
PROMO-00280,CR-00013,2-kyu judo,1-kyu judo,2024-09-05,Raj Patel,CERT-CR-00280,judo
PROMO-00281,CR-00035,4-kyu kendo,3-kyu kendo,2019-06-19,Tom Iverson,CERT-CR-00281,kendo
PROMO-00282,CR-00043,6-kyu kendo,5-kyu kendo,2023-09-27,Tom Iverson,CERT-CR-00282,kendo
PROMO-00283,CR-00006,3-kyu kendo,2-kyu kendo,2019-09-21,Raj Patel,CERT-CR-00283,kendo
PROMO-00284,CR-00027,3-dan kendo,4-dan kendo,2023-03-16,Aaron Delgado,CERT-CR-00284,kendo
PROMO-00285,CR-00042,1-dan judo,2-dan judo,2021-12-08,Aaron Delgado,CERT-CR-00285,judo
PROMO-00286,CR-00030,2-dan kendo,3-dan kendo,2019-03-06,Aaron Delgado,CERT-CR-00286,kendo
PROMO-00287,CR-00031,4-kyu kendo,3-kyu kendo,2022-06-11,Aaron Delgado,CERT-CR-00287,kendo
PROMO-00288,CR-00056,1-kyu judo,1-dan judo,2024-09-24,Aaron Delgado,CERT-CR-00288,judo
PROMO-00289,CR-00009,3-dan kendo,4-dan kendo,2025-09-17,Tom Iverson,CERT-CR-00289,kendo
PROMO-00290,CR-00021,2-kyu kendo,1-kyu kendo,2020-12-04,Aaron Delgado,CERT-CR-00290,kendo
PROMO-00291,CR-00016,2-kyu kendo,1-kyu kendo,2020-03-02,Aaron Delgado,CERT-CR-00291,kendo
PROMO-00292,CR-00056,4-kyu judo,3-kyu judo,2023-12-08,Aaron Delgado,CERT-CR-00292,judo
PROMO-00293,CR-00060,4-kyu kendo,3-kyu kendo,2023-09-07,Aaron Delgado,CERT-CR-00293,kendo
PROMO-00294,CR-00033,2-dan kendo,3-dan kendo,2022-12-10,Tom Iverson,CERT-CR-00294,kendo
PROMO-00295,CR-00006,3-kyu kendo,2-kyu kendo,2022-12-08,Raj Patel,CERT-CR-00295,kendo
PROMO-00296,CR-00023,2-dan judo,3-dan judo,2019-03-10,Raj Patel,CERT-CR-00296,judo
PROMO-00297,CR-00057,3-dan kendo,4-dan kendo,2025-12-10,Tom Iverson,CERT-CR-00297,kendo
PROMO-00298,CR-00055,2-kyu kendo,1-kyu kendo,2019-12-05,Raj Patel,CERT-CR-00298,kendo
PROMO-00299,CR-00024,6-kyu kendo,5-kyu kendo,2025-12-12,Aaron Delgado,CERT-CR-00299,kendo
PROMO-00300,CR-00004,3-dan kendo,4-dan kendo,2023-06-12,Aaron Delgado,CERT-CR-00300,kendo
PROMO-00301,CR-00005,3-dan kendo,4-dan kendo,2022-12-25,Aaron Delgado,CERT-CR-00301,kendo
PROMO-00302,CR-00053,5-kyu kendo,4-kyu kendo,2023-03-05,Aaron Delgado,CERT-CR-00302,kendo
PROMO-00303,CR-00024,1-kyu kendo,1-dan kendo,2025-09-18,Tom Iverson,CERT-CR-00303,kendo
PROMO-00304,CR-00013,6-kyu judo,5-kyu judo,2023-12-17,Tom Iverson,CERT-CR-00304,judo
PROMO-00305,CR-00003,2-dan kendo,3-dan kendo,2020-09-26,Raj Patel,CERT-CR-00305,kendo
PROMO-00306,CR-00030,1-kyu kendo,1-dan kendo,2020-06-11,Tom Iverson,CERT-CR-00306,kendo
PROMO-00307,CR-00026,1-kyu kendo,1-dan kendo,2023-09-19,Raj Patel,CERT-CR-00307,kendo
PROMO-00308,CR-00054,2-kyu judo,1-kyu judo,2023-12-23,Aaron Delgado,CERT-CR-00308,judo
PROMO-00309,CR-00053,5-kyu kendo,4-kyu kendo,2019-09-11,Aaron Delgado,CERT-CR-00309,kendo
PROMO-00310,CR-00038,2-dan kendo,3-dan kendo,2021-03-20,Aaron Delgado,CERT-CR-00310,kendo
PROMO-00311,CR-00042,6-kyu judo,5-kyu judo,2025-06-24,Raj Patel,CERT-CR-00311,judo
PROMO-00312,CR-00031,3-kyu kendo,2-kyu kendo,2020-12-05,Tom Iverson,CERT-CR-00312,kendo
PROMO-00313,CR-00037,6-kyu kendo,5-kyu kendo,2024-03-07,Aaron Delgado,CERT-CR-00313,kendo
PROMO-00314,CR-00021,3-kyu kendo,2-kyu kendo,2022-06-14,Aaron Delgado,CERT-CR-00314,kendo
PROMO-00315,CR-00033,6-kyu kendo,5-kyu kendo,2025-12-28,Raj Patel,CERT-CR-00315,kendo
PROMO-00316,CR-00009,1-kyu kendo,1-dan kendo,2023-06-18,Raj Patel,CERT-CR-00316,kendo
PROMO-00317,CR-00031,4-kyu kendo,3-kyu kendo,2023-12-11,Aaron Delgado,CERT-CR-00317,kendo
PROMO-00318,CR-00059,1-kyu kendo,1-dan kendo,2023-09-18,Raj Patel,CERT-CR-00318,kendo
PROMO-00319,CR-00050,2-dan judo,3-dan judo,2025-09-20,Tom Iverson,CERT-CR-00319,judo
PROMO-00320,CR-00016,2-kyu kendo,1-kyu kendo,2021-09-08,Aaron Delgado,CERT-CR-00320,kendo
PROMO-00321,CR-00046,2-dan kendo,3-dan kendo,2020-12-11,Aaron Delgado,CERT-CR-00321,kendo
PROMO-00322,CR-00036,5-kyu kendo,4-kyu kendo,2025-09-10,Raj Patel,CERT-CR-00322,kendo
PROMO-00323,CR-00044,1-kyu kendo,1-dan kendo,2023-12-13,Tom Iverson,CERT-CR-00323,kendo
PROMO-00324,CR-00019,5-kyu judo,4-kyu judo,2019-09-23,Aaron Delgado,CERT-CR-00324,judo
PROMO-00325,CR-00060,2-dan kendo,3-dan kendo,2022-09-24,Tom Iverson,CERT-CR-00325,kendo
