id,iid,project_id,title,description,state,author,assignee,labels,created_at,updated_at,closed_at
40062,62,501,[timesheet-1988] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1988. Pay periods: 26 bi-weekly cycles (1988-01-06 through 1988-12-24). Regular hours: 2080. OT hours: 159. Source: paper ledger PB-88-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1988",1988-01-06T09:00:00Z,1988-12-31T17:00:00Z,1988-12-31T17:00:00Z
40063,63,501,[timesheet-1989] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1989. Pay periods: 26 bi-weekly cycles (1989-01-06 through 1989-12-24). Regular hours: 2080. OT hours: 141. Source: paper ledger PB-89-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1989",1989-01-06T09:00:00Z,1989-12-31T17:00:00Z,1989-12-31T17:00:00Z
40064,64,501,[timesheet-1990] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1990. Pay periods: 26 bi-weekly cycles (1990-01-06 through 1990-12-24). Regular hours: 2080. OT hours: 161. Source: paper ledger PB-90-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1990",1990-01-06T09:00:00Z,1990-12-31T17:00:00Z,1990-12-31T17:00:00Z
40065,65,501,[timesheet-1991] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1991. Pay periods: 26 bi-weekly cycles (1991-01-06 through 1991-12-24). Regular hours: 2080. OT hours: 86. Source: paper ledger PB-91-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1991",1991-01-06T09:00:00Z,1991-12-31T17:00:00Z,1991-12-31T17:00:00Z
40066,66,501,[timesheet-1992] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1992. Pay periods: 26 bi-weekly cycles (1992-01-06 through 1992-12-24). Regular hours: 2080. OT hours: 26. Source: paper ledger PB-92-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1992",1992-01-06T09:00:00Z,1992-12-31T17:00:00Z,1992-12-31T17:00:00Z
40067,67,501,[timesheet-1993] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1993. Pay periods: 26 bi-weekly cycles (1993-01-06 through 1993-12-24). Regular hours: 2080. OT hours: 89. Source: paper ledger PB-93-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1993",1993-01-06T09:00:00Z,1993-12-31T17:00:00Z,1993-12-31T17:00:00Z
40068,68,501,[timesheet-1994] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1994. Pay periods: 26 bi-weekly cycles (1994-01-06 through 1994-12-24). Regular hours: 2080. OT hours: 66. Source: paper ledger PB-94-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1994",1994-01-06T09:00:00Z,1994-12-31T17:00:00Z,1994-12-31T17:00:00Z
40069,69,501,[timesheet-1995] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1995. Pay periods: 26 bi-weekly cycles (1995-01-06 through 1995-12-24). Regular hours: 2080. OT hours: 21. Source: paper ledger PB-95-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1995",1995-01-06T09:00:00Z,1995-12-31T17:00:00Z,1995-12-31T17:00:00Z
40070,70,501,[timesheet-1996] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1996. Pay periods: 26 bi-weekly cycles (1996-01-06 through 1996-12-24). Regular hours: 2080. OT hours: 112. Source: paper ledger PB-96-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1996",1996-01-06T09:00:00Z,1996-12-31T17:00:00Z,1996-12-31T17:00:00Z
40071,71,501,[timesheet-1997] Ernesto Cabral - annual pay-period ledger,Digitized ledger for Ernesto Cabral covering FY1997. Pay periods: 26 bi-weekly cycles (1997-01-06 through 1997-12-24). Regular hours: 2080. OT hours: 176. Source: paper ledger PB-97-1032. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,ernesto.cabral,"timesheet,archive,fy-1997",1997-01-06T09:00:00Z,1997-12-31T17:00:00Z,1997-12-31T17:00:00Z
40072,72,501,Archive integrity check - Q3 2024,Karen T. verified checksums on all timesheet CSVs. No drift.,closed,karen.thompson,karen.thompson,"housekeeping,integrity",2024-08-20T10:00:00Z,2024-08-22T15:00:00Z,2024-08-22T15:00:00Z
1005001,5001,101,Timesheet rollup - jorge.olivares - FY1985,Bi-weekly pay-period ledger for jorge.olivares covering FY1985. Regular hours: 2051. OT hours: 61. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1985-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005002,5002,101,Timesheet rollup - jorge.olivares - FY1986,Bi-weekly pay-period ledger for jorge.olivares covering FY1986. Regular hours: 2052. OT hours: 62. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1986-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005003,5003,101,Timesheet rollup - jorge.olivares - FY1987,Bi-weekly pay-period ledger for jorge.olivares covering FY1987. Regular hours: 2053. OT hours: 63. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1987-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005004,5004,101,Timesheet rollup - jorge.olivares - FY1988,Bi-weekly pay-period ledger for jorge.olivares covering FY1988. Regular hours: 2054. OT hours: 64. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1988-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005005,5005,101,Timesheet rollup - jorge.olivares - FY1989,Bi-weekly pay-period ledger for jorge.olivares covering FY1989. Regular hours: 2055. OT hours: 65. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1989-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005006,5006,101,Timesheet rollup - jorge.olivares - FY1990,Bi-weekly pay-period ledger for jorge.olivares covering FY1990. Regular hours: 2056. OT hours: 66. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1990-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005007,5007,101,Timesheet rollup - jorge.olivares - FY1991,Bi-weekly pay-period ledger for jorge.olivares covering FY1991. Regular hours: 2057. OT hours: 67. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1991-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005008,5008,101,Timesheet rollup - jorge.olivares - FY1992,Bi-weekly pay-period ledger for jorge.olivares covering FY1992. Regular hours: 2058. OT hours: 68. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1992-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005009,5009,101,Timesheet rollup - jorge.olivares - FY1993,Bi-weekly pay-period ledger for jorge.olivares covering FY1993. Regular hours: 2059. OT hours: 69. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1993-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005010,5010,101,Timesheet rollup - jorge.olivares - FY1994,Bi-weekly pay-period ledger for jorge.olivares covering FY1994. Regular hours: 2060. OT hours: 70. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1994-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005011,5011,101,Timesheet rollup - jorge.olivares - FY1995,Bi-weekly pay-period ledger for jorge.olivares covering FY1995. Regular hours: 2061. OT hours: 71. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1995-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005012,5012,101,Timesheet rollup - jorge.olivares - FY1996,Bi-weekly pay-period ledger for jorge.olivares covering FY1996. Regular hours: 2062. OT hours: 72. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1996-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005013,5013,101,Timesheet rollup - jorge.olivares - FY1997,Bi-weekly pay-period ledger for jorge.olivares covering FY1997. Regular hours: 2063. OT hours: 73. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,jorge.olivares,"legacy-timesheet,payroll-rollup",1997-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005014,5014,101,Timesheet rollup - marta.lucero - FY1985,Bi-weekly pay-period ledger for marta.lucero covering FY1985. Regular hours: 2064. OT hours: 74. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1985-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005015,5015,101,Timesheet rollup - marta.lucero - FY1986,Bi-weekly pay-period ledger for marta.lucero covering FY1986. Regular hours: 2065. OT hours: 75. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1986-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005016,5016,101,Timesheet rollup - marta.lucero - FY1987,Bi-weekly pay-period ledger for marta.lucero covering FY1987. Regular hours: 2066. OT hours: 76. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1987-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005017,5017,101,Timesheet rollup - marta.lucero - FY1988,Bi-weekly pay-period ledger for marta.lucero covering FY1988. Regular hours: 2067. OT hours: 77. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1988-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005018,5018,101,Timesheet rollup - marta.lucero - FY1989,Bi-weekly pay-period ledger for marta.lucero covering FY1989. Regular hours: 2068. OT hours: 78. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1989-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005019,5019,101,Timesheet rollup - marta.lucero - FY1990,Bi-weekly pay-period ledger for marta.lucero covering FY1990. Regular hours: 2069. OT hours: 79. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1990-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005020,5020,101,Timesheet rollup - marta.lucero - FY1991,Bi-weekly pay-period ledger for marta.lucero covering FY1991. Regular hours: 2070. OT hours: 80. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1991-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005021,5021,101,Timesheet rollup - marta.lucero - FY1992,Bi-weekly pay-period ledger for marta.lucero covering FY1992. Regular hours: 2071. OT hours: 81. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1992-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005022,5022,101,Timesheet rollup - marta.lucero - FY1993,Bi-weekly pay-period ledger for marta.lucero covering FY1993. Regular hours: 2072. OT hours: 82. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1993-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005023,5023,101,Timesheet rollup - marta.lucero - FY1994,Bi-weekly pay-period ledger for marta.lucero covering FY1994. Regular hours: 2073. OT hours: 83. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1994-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005024,5024,101,Timesheet rollup - marta.lucero - FY1995,Bi-weekly pay-period ledger for marta.lucero covering FY1995. Regular hours: 2074. OT hours: 84. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1995-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005025,5025,101,Timesheet rollup - marta.lucero - FY1996,Bi-weekly pay-period ledger for marta.lucero covering FY1996. Regular hours: 2075. OT hours: 85. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1996-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005026,5026,101,Timesheet rollup - marta.lucero - FY1997,Bi-weekly pay-period ledger for marta.lucero covering FY1997. Regular hours: 2076. OT hours: 86. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,marta.lucero,"legacy-timesheet,payroll-rollup",1997-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005027,5027,101,Timesheet rollup - felipe.ramirez - FY1985,Bi-weekly pay-period ledger for felipe.ramirez covering FY1985. Regular hours: 2077. OT hours: 87. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1985-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005028,5028,101,Timesheet rollup - felipe.ramirez - FY1986,Bi-weekly pay-period ledger for felipe.ramirez covering FY1986. Regular hours: 2078. OT hours: 88. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1986-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005029,5029,101,Timesheet rollup - felipe.ramirez - FY1987,Bi-weekly pay-period ledger for felipe.ramirez covering FY1987. Regular hours: 2079. OT hours: 89. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1987-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005030,5030,101,Timesheet rollup - felipe.ramirez - FY1988,Bi-weekly pay-period ledger for felipe.ramirez covering FY1988. Regular hours: 2080. OT hours: 90. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1988-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005031,5031,101,Timesheet rollup - felipe.ramirez - FY1989,Bi-weekly pay-period ledger for felipe.ramirez covering FY1989. Regular hours: 2081. OT hours: 91. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1989-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005032,5032,101,Timesheet rollup - felipe.ramirez - FY1990,Bi-weekly pay-period ledger for felipe.ramirez covering FY1990. Regular hours: 2082. OT hours: 92. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1990-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005033,5033,101,Timesheet rollup - felipe.ramirez - FY1991,Bi-weekly pay-period ledger for felipe.ramirez covering FY1991. Regular hours: 2083. OT hours: 93. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1991-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005034,5034,101,Timesheet rollup - felipe.ramirez - FY1992,Bi-weekly pay-period ledger for felipe.ramirez covering FY1992. Regular hours: 2084. OT hours: 94. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1992-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005035,5035,101,Timesheet rollup - felipe.ramirez - FY1993,Bi-weekly pay-period ledger for felipe.ramirez covering FY1993. Regular hours: 2085. OT hours: 95. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1993-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005036,5036,101,Timesheet rollup - felipe.ramirez - FY1994,Bi-weekly pay-period ledger for felipe.ramirez covering FY1994. Regular hours: 2086. OT hours: 96. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1994-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005037,5037,101,Timesheet rollup - felipe.ramirez - FY1995,Bi-weekly pay-period ledger for felipe.ramirez covering FY1995. Regular hours: 2087. OT hours: 97. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1995-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005038,5038,101,Timesheet rollup - felipe.ramirez - FY1996,Bi-weekly pay-period ledger for felipe.ramirez covering FY1996. Regular hours: 2088. OT hours: 98. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1996-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005039,5039,101,Timesheet rollup - felipe.ramirez - FY1997,Bi-weekly pay-period ledger for felipe.ramirez covering FY1997. Regular hours: 2089. OT hours: 99. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,felipe.ramirez,"legacy-timesheet,payroll-rollup",1997-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005040,5040,101,Timesheet rollup - otilia.vega - FY1985,Bi-weekly pay-period ledger for otilia.vega covering FY1985. Regular hours: 2010. OT hours: 100. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1985-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005041,5041,101,Timesheet rollup - otilia.vega - FY1986,Bi-weekly pay-period ledger for otilia.vega covering FY1986. Regular hours: 2011. OT hours: 101. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1986-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005042,5042,101,Timesheet rollup - otilia.vega - FY1987,Bi-weekly pay-period ledger for otilia.vega covering FY1987. Regular hours: 2012. OT hours: 102. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1987-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005043,5043,101,Timesheet rollup - otilia.vega - FY1988,Bi-weekly pay-period ledger for otilia.vega covering FY1988. Regular hours: 2013. OT hours: 103. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1988-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005044,5044,101,Timesheet rollup - otilia.vega - FY1989,Bi-weekly pay-period ledger for otilia.vega covering FY1989. Regular hours: 2014. OT hours: 104. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1989-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005045,5045,101,Timesheet rollup - otilia.vega - FY1990,Bi-weekly pay-period ledger for otilia.vega covering FY1990. Regular hours: 2015. OT hours: 105. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1990-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005046,5046,101,Timesheet rollup - otilia.vega - FY1991,Bi-weekly pay-period ledger for otilia.vega covering FY1991. Regular hours: 2016. OT hours: 106. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1991-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005047,5047,101,Timesheet rollup - otilia.vega - FY1992,Bi-weekly pay-period ledger for otilia.vega covering FY1992. Regular hours: 2017. OT hours: 107. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1992-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
1005048,5048,101,Timesheet rollup - otilia.vega - FY1993,Bi-weekly pay-period ledger for otilia.vega covering FY1993. Regular hours: 2018. OT hours: 108. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,otilia.vega,"legacy-timesheet,payroll-rollup",1993-12-31T17:00:00-06:00,1998-07-15T10:00:00-06:00,1998-07-15T10:00:00-06:00
