id,email,first_name,last_name,tags,added_date,last_automation_touch,household_id_ref,roster_status,drift_flag
A-00202,denver.overstreet@paducah.net,Denver,Overstreet,active;winter_check_in,2021-06-07,2024-03-06,H-0209,deceased_2026,audience_still_active_but_roster_deceased_2026
A-00203,norman.kilgore@bellsouth.net,Norman,Kilgore,active;christmas_eve_reminder;visit_prompt,2024-06-30,2026-10-20,H-0119,active,
A-00204,winifred.gaskin@paducah.net,Winifred,Gaskin,birthday_card;christmas_eve_reminder;homebound,2023-09-22,2026-09-18,H-0037,homebound,
A-00205,jean.devers@paducah.net,Jean,Devers,active;birthday_card;winter_check_in,2018-03-29,2026-06-26,H-0136,active,
A-00206,ethel.chandler@bellsouth.net,Ethel,Chandler,active;birthday_card;christmas_eve_reminder;visit_prompt,2020-08-08,2024-05-06,H-0038,opted_out,audience_still_active_but_roster_opted_out
A-00207,eunice.norsworthy@gmail.com,Eunice,Norsworthy,active;christmas_eve_reminder,2021-09-05,2026-05-25,H-0231,active,
A-00208,agnes.mcdaniel@gmail.com,Agnes,McDaniel,active;christmas_eve_reminder,2020-10-17,2026-10-24,H-0041,active,
A-00209,beatrice.overby@bellsouth.net,Beatrice,Overby,active;christmas_eve_reminder;visit_prompt,2022-04-14,2026-07-11,H-0161,active,
A-00210,kathy.chandler@bellsouth.net,Kathy,Chandler,active;christmas_eve_reminder;visit_prompt,2020-07-16,2022-01-14,,no_household_link,no_household_link_in_roster
A-00211,pearl.wilkes@gmail.com,Pearl,Wilkes,active;winter_check_in,2022-03-21,2026-09-16,H-0157,active,
A-00212,sue.beasley@paducah.net,Sue,Beasley,christmas_eve_reminder;homebound,2023-03-31,2026-07-16,H-0214,homebound,
A-00213,richard.franks@gmail.com,Richard,Franks,active;christmas_eve_reminder,2024-10-22,2026-10-20,H-0191,active,
A-00214,homer.doerr@bellsouth.net,Homer,Doerr,active;christmas_eve_reminder,2021-02-16,2026-07-07,H-0059,active,
A-00215,herman.hargrove@paducah.net,Herman,Hargrove,active;birthday_card;winter_check_in,2022-12-10,2026-09-01,H-0062,active,
A-00216,ann.beasley@gmail.com,Ann,Beasley,active;christmas_eve_reminder,2024-05-20,2026-06-13,H-0241,active,
A-00217,cora.egerton@bellsouth.net,Cora,Egerton,active;birthday_card;winter_check_in,2024-08-06,2026-07-12,H-0048,active,
A-00218,barbara.yancey@bellsouth.net,Barbara,Yancey,active;birthday_card;christmas_eve_reminder,2020-07-07,2024-07-20,H-0106,opted_out,audience_still_active_but_roster_opted_out
A-00219,shirley.killebrew@paducah.net,Shirley,Killebrew,active;christmas_eve_reminder,2020-03-18,2026-07-29,H-0212,active,
A-00220,loretta.vickers@gmail.com,Loretta,Vickers,active;birthday_card;christmas_eve_reminder,2020-05-25,2026-08-27,H-0210,active,
A-00221,alvin.fisher@bellsouth.net,Alvin,Fisher,active;christmas_eve_reminder,2017-05-24,2026-07-23,H-0135,active,
A-00222,leroy.vickers@gmail.com,Leroy,Vickers,active;christmas_eve_reminder,2022-04-08,2026-08-25,H-0109,active,
A-00223,bennie.larkin@gmail.com,Bennie,Larkin,active;christmas_eve_reminder;visit_prompt,2022-06-13,2026-05-26,H-0196,active,
A-00224,marvin.dawson@paducah.net,Marvin,Dawson,active;winter_check_in,2023-07-23,2026-04-21,H-0255,active,
A-00225,gladys.ridenour@paducah.net,Gladys,Ridenour,active;visit_prompt;winter_check_in,2019-11-06,2026-09-26,H-0008,active,
A-00226,kermit.ives@paducah.net,Kermit,Ives,active;birthday_card;christmas_eve_reminder,2020-03-26,2024-02-23,H-0204,opted_out,audience_still_active_but_roster_opted_out
A-00227,betty.meade@paducah.net,Betty,Meade,active;christmas_eve_reminder;visit_prompt,2020-04-29,2026-07-28,H-0247,active,
A-00228,mabel.pyle@gmail.com,Mabel,Pyle,active;birthday_card;visit_prompt;winter_check_in,2019-08-16,2026-07-14,H-0239,active,
A-00229,bernice.bruce@bellsouth.net,Bernice,Bruce,active;christmas_eve_reminder,2017-02-23,2026-03-07,H-0195,active,
A-00230,rupert.hargrove@gmail.com,Rupert,Hargrove,active;visit_prompt;winter_check_in,2018-09-26,2026-10-04,H-0086,active,
A-00231,vivian.ellington@paducah.net,Vivian,Ellington,birthday_card;homebound;visit_prompt;winter_check_in,2024-06-07,2026-09-28,H-0019,homebound,
A-00232,ethel.lassiter@gmail.com,Ethel,Lassiter,active;christmas_eve_reminder;visit_prompt,2019-06-05,2026-07-01,H-0143,active,
A-00233,harlan.thigpen@paducah.net,Harlan,Thigpen,active;christmas_eve_reminder,2020-11-22,2026-09-17,H-0188,active,
A-00234,willie.gholson@paducah.net,Willie,Gholson,active;birthday_card;winter_check_in,2024-09-11,2026-04-10,H-0054,active,
A-00235,fay.pyle@paducah.net,Fay,Pyle,active;visit_prompt;winter_check_in,2024-12-10,2026-08-06,H-0148,active,
A-00236,etta.pemberton@gmail.com,Etta,Pemberton,active;christmas_eve_reminder,2022-01-17,2026-09-06,H-0017,active,
A-00237,pearl.ackerman@paducah.net,Pearl,Ackerman,active;visit_prompt;winter_check_in,2018-09-23,2025-07-13,H-0121,opted_out,audience_still_active_but_roster_opted_out
A-00238,billy.kegley@paducah.net,Billy,Kegley,active;christmas_eve_reminder,2019-09-21,2026-08-13,H-0220,deceased_2026,audience_still_active_but_roster_deceased_2026
A-00239,marjorie.woodson@paducah.net,Marjorie,Woodson,active;winter_check_in,2025-01-29,2026-10-17,H-0189,active,
A-00240,bennie.barclay@bellsouth.net,Bennie,Barclay,active;birthday_card;winter_check_in,2021-03-23,2026-06-19,H-0221,active,
A-00241,thelma.yancey@paducah.net,Thelma,Yancey,active;visit_prompt;winter_check_in,2024-07-08,2026-09-20,H-0042,active,
A-00242,alvin.meacham@paducah.net,Alvin,Meacham,active;bereaved;christmas_eve_reminder,2021-07-02,2026-09-21,H-0201,active,
A-00243,earl.nave@bellsouth.net,Earl,Nave,active;birthday_card;christmas_eve_reminder,2017-09-10,2026-08-18,H-0071,active,
A-00244,willie.purdom@gmail.com,Willie,Purdom,homebound;winter_check_in,2018-03-29,2026-06-12,H-0099,homebound,
A-00245,effie.bruce@bellsouth.net,Effie,Bruce,active;birthday_card;christmas_eve_reminder;visit_prompt,2025-12-08,2026-04-14,H-0090,active,
A-00246,diane.mccoy@gmail.com,Diane,McCoy,active;winter_check_in,2023-06-03,2026-04-08,H-0159,active,
A-00247,ruth.egerton@paducah.net,Ruth,Egerton,active;birthday_card;winter_check_in,2019-11-05,2026-04-16,H-0146,active,
A-00248,florence.hendon@paducah.net,Florence,Hendon,active;birthday_card;christmas_eve_reminder;visit_prompt,2022-10-28,2026-06-20,H-0097,active,
A-00249,elton.draffen@paducah.net,Elton,Draffen,active;birthday_card;winter_check_in,2019-09-08,2026-07-28,H-0126,active,
A-00250,yvonne.layman@paducah.net,Yvonne,Layman,active;bereaved;christmas_eve_reminder,2020-03-18,2026-05-23,H-0250,active,
A-00251,arthur.hurst@bellsouth.net,Arthur,Hurst,christmas_eve_reminder;homebound;visit_prompt,2021-04-29,2026-05-08,H-0237,homebound,
A-00252,tilden.woodson@gmail.com,Tilden,Woodson,active;winter_check_in,2025-09-09,2026-04-02,H-0123,active,
A-00253,bonnie.sanger@gmail.com,Bonnie,Sanger,active;birthday_card;winter_check_in,2019-01-14,2025-04-20,H-0092,assisted_care,
A-00254,david.norvell@paducah.net,David,Norvell,birthday_card;homebound;winter_check_in,2021-11-15,2026-08-24,H-0215,homebound,
A-00255,evelyn.underhill@gmail.com,Evelyn,Underhill,active;bereaved;birthday_card;visit_prompt;winter_check_in,2023-09-28,2026-07-11,H-0026,active,
A-00256,hal.renfro@bellsouth.net,Harold,Renfro,visit_prompt;christmas_eve_reminder,2018-03-12,2024-02-10,H-0142,opted_out,audience_still_active_but_roster_opted_out
A-00257,mark.milam@gmail.com,Mark,Milam,active;birthday_card;christmas_eve_reminder,2023-09-06,2026-04-01,H-0118,active,
A-00258,vernon.dockery@bellsouth.net,Vernon,Dockery,active;christmas_eve_reminder,2025-03-26,2026-07-08,H-0117,active,
A-00259,ernest.pyle@gmail.com,Ernest,Pyle,active;birthday_card;christmas_eve_reminder,2023-11-17,2026-02-23,H-0239,active,
A-00260,ottis.dodson@gmail.com,Ottis,Dodson,homebound;winter_check_in,2023-01-15,2026-04-03,H-0076,homebound,
A-00261,doyle.gooch@gmail.com,Doyle,Gooch,active;christmas_eve_reminder;visit_prompt,2017-09-15,2026-09-21,H-0065,assisted_care,
A-00262,charles.franks@gmail.com,Charles,Franks,active;winter_check_in,2019-08-24,2026-06-13,H-0199,active,
A-00263,homer.eller@gmail.com,Homer,Eller,homebound;visit_prompt;winter_check_in,2022-07-11,2026-04-11,H-0129,homebound,
A-00264,charlotte.herndon@bellsouth.net,Charlotte,Herndon,active;visit_prompt;winter_check_in,2025-01-13,2026-09-04,H-0244,active,
A-00265,peggy.prewitt@paducah.net,Peggy,Prewitt,birthday_card;homebound;visit_prompt;winter_check_in,2023-03-18,2026-10-07,H-0165,homebound,
A-00266,mildred.fain@bellsouth.net,Mildred,Fain,active;birthday_card;christmas_eve_reminder;visit_prompt,2024-05-10,2026-10-08,H-0069,active,
A-00267,homer.puckett@gmail.com,Homer,Puckett,birthday_card;homebound;winter_check_in,2025-01-09,2026-06-03,H-0179,homebound,
A-00268,beulah.norsworthy@paducah.net,Beulah,Norsworthy,active;christmas_eve_reminder,2021-09-28,2026-09-01,H-0231,active,
A-00269,maude.meade@paducah.net,Maude,Meade,active;winter_check_in,2017-04-24,2026-10-12,H-0111,active,
A-00270,cecil.gaddis@gmail.com,Cecil,Gaddis,active;christmas_eve_reminder,2020-02-08,2026-04-02,H-0002,active,
A-00271,dennis.cundiff@bellsouth.net,Dennis,Cundiff,christmas_eve_reminder;homebound;visit_prompt,2023-08-30,2026-08-21,H-0113,homebound,
A-00272,mildred.jeter@paducah.net,Mildred,Jeter,christmas_eve_reminder;homebound,2022-08-16,2026-02-12,H-0022,homebound,
A-00273,ottis.eller@bellsouth.net,Ottis,Eller,active;christmas_eve_reminder;visit_prompt,2020-07-05,2026-05-31,H-0183,active,
A-00274,edna.oxford@gmail.com,Edna,Oxford,active;birthday_card;christmas_eve_reminder,2021-10-18,2026-10-06,H-0230,active,
A-00275,bennie.mcdaniel@gmail.com,Bennie,McDaniel,bereaved;birthday_card;homebound;visit_prompt;winter_check_in,2020-12-23,2026-05-29,H-0193,homebound,
A-00276,marjorie.wilkes@paducah.net,Marjorie,Wilkes,active;christmas_eve_reminder,2020-04-28,2026-09-24,H-0157,active,
A-00277,odell.meade@paducah.net,Odell,Meade,active;birthday_card;visit_prompt;winter_check_in,2019-10-02,2024-06-26,H-0187,assisted_care,
A-00278,dorothy.cissell@gmail.com,Dorothy,Cissell,active;bereaved;birthday_card;winter_check_in,2021-03-16,2026-04-17,H-0249,active,
A-00279,elmer.roark@paducah.net,Elmer,Roark,active;winter_check_in,2018-02-23,2026-06-09,H-0168,active,
A-00280,buford.hendon@gmail.com,Buford,Hendon,homebound;winter_check_in,2021-05-29,2026-04-20,H-0240,homebound,
A-00281,reginald.yeager@paducah.net,Reginald,Yeager,active;christmas_eve_reminder;visit_prompt,2018-11-19,2026-05-04,H-0023,active,
A-00282,bryant.draffen@gmail.com,Bryant,Draffen,active;birthday_card;visit_prompt;winter_check_in,2025-09-29,2026-08-21,H-0225,active,
A-00283,grace.latham@bellsouth.net,Grace,Latham,active;christmas_eve_reminder,2019-04-28,2026-04-07,H-0079,active,
A-00284,dennis.puckett@paducah.net,Dennis,Puckett,christmas_eve_reminder;homebound,2018-07-31,2026-05-27,H-0179,homebound,
A-00285,mildred.boaz@gmail.com,Mildred,Boaz,active;winter_check_in,2024-01-17,2026-08-01,H-0206,active,
A-00286,ronald.weddle@bellsouth.net,Ronald,Weddle,active;visit_prompt;winter_check_in,2020-02-25,2025-05-27,H-0251,deceased_2026,audience_still_active_but_roster_deceased_2026
A-00287,bonnie.utley@bellsouth.net,Bonnie,Utley,active;visit_prompt;winter_check_in,2018-09-07,2026-05-02,H-0202,active,
A-00288,corine.thurman@bellsouth.net,Corine,Thurman,active;visit_prompt;winter_check_in,2018-11-12,2026-07-13,H-0047,active,
A-00289,thomas.yancey@paducah.net,Thomas,Yancey,active;birthday_card;winter_check_in,2024-05-15,2026-07-03,H-0175,active,
A-00290,beulah.grissom@bellsouth.net,Beulah,Grissom,active;christmas_eve_reminder,2023-07-17,2026-09-25,H-0089,active,
A-00291,ottis.hollister@gmail.com,Ottis,Hollister,birthday_card;homebound;visit_prompt;winter_check_in,2022-11-14,2026-04-16,H-0056,homebound,
A-00292,curtis.cissell@paducah.net,Curtis,Cissell,active;bereaved;winter_check_in,2019-12-02,2025-07-09,H-0085,assisted_care,
A-00293,merle.latham@paducah.net,Merle,Latham,active;christmas_eve_reminder,2019-05-13,2026-07-03,H-0075,active,
A-00294,louise.inman@bellsouth.net,Louise,Inman,homebound;winter_check_in,2025-12-04,2026-08-02,H-0104,homebound,
A-00295,etta.mcdaniel@bellsouth.net,Etta,McDaniel,active;christmas_eve_reminder;visit_prompt,2020-04-25,2024-07-10,H-0091,assisted_care,
A-00296,ruth.purdom@paducah.net,Ruth,Purdom,active;birthday_card;winter_check_in,2019-08-07,2026-04-24,H-0257,active,
A-00297,jerry.vickers@gmail.com,Jerry,Vickers,active;visit_prompt;winter_check_in,2020-01-23,2026-08-21,H-0003,active,
A-00298,ada.overby@paducah.net,Ada,Overby,active;christmas_eve_reminder,2020-01-03,2026-07-02,H-0181,active,
A-00299,fay.kilburn@gmail.com,Fay,Kilburn,active;bereaved;winter_check_in,2020-07-18,2026-09-30,H-0028,active,
A-00300,otis.herndon@gmail.com,Otis,Herndon,christmas_eve_reminder;homebound,2022-08-09,2026-06-29,H-0184,homebound,
A-00301,effie.jessup@paducah.net,Effie,Jessup,active;visit_prompt;winter_check_in,2023-12-25,2026-08-30,H-0207,active,
A-00302,faye.beasley@bellsouth.net,Faye,Beasley,christmas_eve_reminder;homebound,2025-01-14,2026-06-30,H-0214,homebound,
A-00303,opal.osteen@paducah.net,Opal,Osteen,active;christmas_eve_reminder,2020-12-20,2026-10-17,H-0141,active,
A-00304,thelma.yates@bellsouth.net,Thelma,Yates,active;bereaved;christmas_eve_reminder;visit_prompt,2016-10-11,2025-11-01,H-0082,assisted_care,
A-00305,sylvia.inman@paducah.net,Sylvia,Inman,active;winter_check_in,2021-12-28,2026-08-30,H-0081,active,
A-00306,faye.kilburn@bellsouth.net,Faye,Kilburn,active;christmas_eve_reminder,2019-08-12,2026-10-18,H-0131,active,
A-00307,doris.norsworthy@paducah.net,Doris,Norsworthy,active;winter_check_in,2019-08-04,2026-04-05,H-0219,active,
A-00308,john.draffen@gmail.com,John,Draffen,active;winter_check_in,2018-02-04,2026-07-05,H-0225,active,
A-00309,marlene.threlkeld@bellsouth.net,Marlene,Threlkeld,active;winter_check_in,2017-12-10,2026-07-26,H-0001,active,
A-00310,della.stovall@bellsouth.net,Della,Stovall,active;visit_prompt;winter_check_in,2021-11-15,2026-04-10,H-0004,active,
A-00311,yvonne.sartin@paducah.net,Yvonne,Sartin,active;visit_prompt;winter_check_in,2025-12-24,2026-10-02,H-0169,active,
A-00312,beatrice.draffen@gmail.com,Beatrice,Draffen,active;bereaved;christmas_eve_reminder,2023-03-30,2026-04-26,H-0164,active,
