stakeholder_id,name,organization,role,category,ward,primary_language,secondary_language,first_engaged_date,last_engaged_date,engagement_count,recorded_position,position_last_updated,preferred_channel,notes
STK-1144,Fatima Boutros,,Resident,individual_resident,Plateau-Mont-Royal,ar,en,2026-04-28,2026-09-25,6,opposed,2026-08-16,in_person,Retired teacher active on tree canopy
STK-1145,Daniel Marshall,,Resident,individual_resident,Jeanne-Mance,en,fr,2026-07-20,2026-09-16,4,neutral,2026-09-10,phone,Retired teacher active on tree canopy
STK-1146,Helene Poirier,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-06-19,2026-09-26,5,no_response,2026-09-18,portal,Long term resident engaged on street safety
STK-1147,Susan Edwards,,Resident,individual_resident,Milton-Parc,en,fr,2026-06-06,2026-06-21,12,conditional_support,2026-06-08,email,Young professional supporting bike lane extension
STK-1148,Walid Farah,,Resident,individual_resident,Jeanne-Mance,ar,fr,2026-08-04,2026-09-04,3,supportive,2026-09-02,portal,Merchant regular customer voices concern about parking
STK-1149,Vu Hoang Long,,Resident,individual_resident,Plateau-Mont-Royal,vi,fr,2026-08-01,2026-08-11,6,conditional_support,2026-08-10,in_person,Retired teacher active on tree canopy
STK-1150,Simon Morin,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-04-13,2026-10-02,2,conditional_support,2026-08-26,email,Regular attendee at community meetings
STK-1151,Marguerite Bilodeau,,Resident,individual_resident,Mile End,fr,en,2026-06-05,2026-09-26,11,neutral,2026-08-12,phone,Parent asking for pedestrian priority near school
STK-1152,Gaston Bilodeau,,Resident,individual_resident,Plateau-Mont-Royal,fr,,2026-06-01,2026-06-24,0,neutral,2026-06-22,portal,Homeowner concerned about noise and delivery access
STK-1153,Benjamin Griffin,,Resident,individual_resident,Milton-Parc,en,fr,2026-05-28,2026-06-19,2,no_response,2026-06-19,phone,Young professional supporting bike lane extension
STK-1154,Vincent Boucher,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-06-02,2026-08-04,11,supportive,2026-06-04,portal,Regular attendee at community meetings
STK-1155,Rachel Delaney,,Resident,individual_resident,Jeanne-Mance,en,fr,2026-05-31,2026-08-29,4,unknown,2026-07-15,in_person,Cyclist commuting on Rachel corridor
STK-1156,Tarek Chahine,,Resident,individual_resident,Plateau-Mont-Royal,ar,en,2026-04-29,2026-07-31,2,opposed,2026-07-03,email,Cyclist commuting on Rachel corridor
STK-1157,Elena Rodriguez,,Resident,individual_resident,Plateau-Mont-Royal,es,fr,2026-08-15,2026-09-30,7,neutral,2026-09-17,email,Renter engaged on displacement risk
STK-1158,Josee Fortin,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-04-11,2026-08-12,14,supportive,2026-06-13,phone,First engagement through intercept survey
STK-1159,Alain Pelletier,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-05-22,2026-07-15,2,neutral,2026-06-09,email,Merchant regular customer voices concern about parking
STK-1160,Sylvie Roy,,Resident,individual_resident,Mile End,fr,en,2026-06-08,2026-09-27,1,conditional_support,2026-07-23,portal,Parent asking for pedestrian priority near school
STK-1161,Louise Bilodeau,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-07-11,2026-07-13,0,neutral,2026-07-13,phone,Long term resident engaged on street safety
STK-1162,Nicole Poirier,,Resident,individual_resident,Plateau-Mont-Royal,fr,,2026-06-21,2026-09-16,2,conditional_support,2026-06-27,phone,First engagement through intercept survey
STK-1163,Peter Jenkins,,Resident,individual_resident,Plateau-Mont-Royal,en,fr,2026-04-08,2026-08-24,10,supportive,2026-05-30,sms,Cyclist commuting on Rachel corridor
STK-1164,Genevieve Lavoie,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-04-30,2026-08-22,3,neutral,2026-05-10,email,Homeowner concerned about noise and delivery access
STK-1165,Andrew Griffin,,Resident,individual_resident,Plateau-Mont-Royal,en,fr,2026-08-13,2026-09-24,2,no_response,2026-09-05,in_person,Homeowner concerned about noise and delivery access
STK-1166,Emily Davies,,Resident,individual_resident,Plateau-Mont-Royal,en,fr,2026-07-11,2026-07-24,1,neutral,2026-07-24,portal,Renter engaged on displacement risk
STK-1167,Jennifer Norton,,Resident,individual_resident,Mile End,en,,2026-05-06,2026-09-30,12,conditional_support,2026-06-17,portal,Parent asking for pedestrian priority near school
STK-1168,Daniel Marshall,,Resident,individual_resident,Plateau-Mont-Royal,en,fr,2026-04-08,2026-05-14,5,supportive,2026-04-24,phone,Homeowner concerned about noise and delivery access
STK-1169,Adnan Butt,,Resident,individual_resident,Plateau-Mont-Royal,ur,en,2026-07-14,2026-09-16,5,supportive,2026-07-20,portal,Parent asking for pedestrian priority near school
STK-1170,Ghislain Ouellet,,Resident,individual_resident,Jeanne-Mance,fr,en,2026-04-29,2026-05-15,5,unknown,2026-05-13,portal,Parent asking for pedestrian priority near school
STK-1171,Isabelle Caron,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-06-09,2026-09-25,1,no_response,2026-09-21,in_person,Regular attendee at community meetings
STK-1172,Fiona Ingram,,Resident,individual_resident,Mile End,en,fr,2026-06-19,2026-07-03,1,supportive,2026-06-29,in_person,Retired teacher active on tree canopy
STK-1173,Ruksana Khan,,Resident,individual_resident,Plateau-Mont-Royal,bn,fr,2026-05-30,2026-08-31,2,opposed,2026-06-17,portal,Young professional supporting bike lane extension
STK-1174,Monique Gagnon,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-06-13,2026-06-15,3,supportive,2026-06-14,portal,Regular attendee at community meetings
STK-1175,Bruno Fortin,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-06-20,2026-10-02,1,neutral,2026-09-16,in_person,Young professional supporting bike lane extension
STK-1176,Alison Braithwaite,,Resident,individual_resident,Plateau-Mont-Royal,en,,2026-06-11,2026-08-19,2,neutral,2026-06-18,sms,Renter engaged on displacement risk
STK-1177,Guillaume Belanger,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-08-14,2026-09-04,4,supportive,2026-08-18,email,Young professional supporting bike lane extension
STK-1178,Laura Whitfield,,Resident,individual_resident,Jeanne-Mance,en,fr,2026-05-05,2026-06-19,0,supportive,2026-05-18,phone,Parent asking for pedestrian priority near school
STK-1179,Meaghan Lockhart,,Resident,individual_resident,Mile End,en,fr,2026-04-23,2026-05-10,3,opposed,2026-04-29,email,Regular attendee at community meetings
STK-1180,Antoine Boucher,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-05-17,2026-07-21,2,supportive,2026-07-11,portal,Young professional supporting bike lane extension
STK-1181,Denise Morin,,Resident,individual_resident,Plateau-Mont-Royal,fr,en,2026-05-29,2026-05-31,2,supportive,2026-05-30,email,First engagement through intercept survey
STK-1182,Susan Edwards,,Resident,individual_resident,Jeanne-Mance,en,fr,2026-05-07,2026-08-15,4,opposed,2026-05-28,in_person,Young professional supporting bike lane extension
