id,amount,currency,status,payout_status,description,customer_email,created,paid,risk_level
ch_3QZ8994f7252257394,300000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-13T12:34:00Z,2026-08-13T12:34:00Z,normal
ch_3QZ86df93c9f92f0fc,150000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-08-13T12:26:00Z,2026-08-13T12:26:00Z,normal
ch_3QZ87dd787f82a471b,45000,usd,succeeded,paid,Print storefront aggregate,collector@gmail.com,2026-08-17T10:44:00Z,2026-08-17T10:44:00Z,normal
ch_3QZ8e88240bdd157eb,300000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-18T10:04:00Z,2026-08-18T10:04:00Z,normal
ch_3QZ8d2fa1047e2a78f,180000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-12T16:42:00Z,2026-07-12T16:42:00Z,normal
ch_3QZ8f08b83c3fbf695,220000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-08-21T12:53:00Z,2026-08-21T12:53:00Z,normal
ch_3QZ86bded794aaad4d,180000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-09-10T12:58:00Z,2026-09-10T12:58:00Z,normal
ch_3QZ8bd77bf51240cb7,300000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-09-22T09:37:00Z,2026-09-22T09:37:00Z,normal
ch_3QZ84600c3d44351af,80000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-23T09:11:00Z,2026-07-23T09:11:00Z,normal
ch_3QZ8db4b24267beddd,45000,usd,succeeded,paid,Brand short-form deliverable,marcus@premixbrunch.com,2026-07-02T17:31:00Z,2026-07-02T17:31:00Z,normal
ch_3QZ8d2d2f2d204e09b,220000,usd,succeeded,paid,Stocksy license tier 1,buyer1@gmail.com,2026-08-24T12:25:00Z,2026-08-24T12:25:00Z,normal
ch_3QZ80accf39b4f5603,220000,usd,succeeded,paid,Restaurant menu half-day,ana.moreira@gmail.com,2026-07-22T15:18:00Z,2026-07-22T15:18:00Z,normal
ch_3QZ8559bf1f41bb5cd,220000,usd,succeeded,paid,Brand short-form 2 deliverables,brittany@hatchbev.co,2026-08-21T17:07:00Z,2026-08-21T17:07:00Z,normal
ch_3QZ86702592c6e0599,150000,usd,succeeded,paid,Cookbook progress shoot day,rebecca.a@saltandpress.com,2026-07-15T09:36:00Z,2026-07-15T09:36:00Z,normal
ch_3QZ882278d6098c69e,120000,usd,succeeded,paid,Stocksy license tier 2,buyer2@gmail.com,2026-07-22T09:34:00Z,2026-07-22T09:34:00Z,normal
